marker,age,value,RSP,Tel,PedHy,p3,p2,p1,M,PPH,PH,PMH,MH
MBP,P28,log,3.56,2.93,3.54,3.59,3.35,3.53,3.45,3.13,3.91,3.93,4.07
MBP,P56,raw,8.75,8.1,11.85,12.34,11.05,12.38,11.79,10.85,12.08,11.94,13.18
MBP,P56,log,3.13,3.02,3.57,3.63,3.47,3.63,3.56,3.44,3.6,3.58,3.72
MBP,P56,raw,18.89,16.82,20.77,20.72,18.3,20.83,23.79,19.88,21.46,19.89,21.99
MBP,P56,log,4.24,4.07,4.38,4.37,4.19,4.38,4.57,4.31,4.42,4.31,4.66
PLP1,P4,raw,2.25,3.2,2.19,2.07,1.68,2.89,2.58,3.65,6.02,7.96,6.92
PLP1,P4,log,1.17,1.68,1.13,1.05,0.75,1.53,1.37,1.87,2.59,2.99,2.79
PLP1,P14,raw,8.17,9.38,8.92,12.87,11.24,14.02,13.22,10.51,21.52,23.17,22.06
PLP1,P14,log,3.03,3.23,3.16,3.69,3.49,3.81,3.72,3.39,4.43,4.53,4.46
PLP1,P28,raw,12.72,10.29,15.38,16.44,12.3,15.26,14.3,9.51,16.99,17,16.43
PLP1,P28,log,3.67,3.36,3.94,4.04,3.62,3.93,3.84,3.25,4.07,4.09,4.04
PLP1,P56,raw,16.8,15.48,21.18,21.66,17.69,18.11,17.75,13.28,17.73,18.92,20.25
PLP1,P56,log,4.07,3.95,4.4,4.44,4.14,4.18,4.15,3.73,4.15,4.24,4.34
PLP1,P56,raw,15.53,16.22,21.67,23.1,20.45,21.18,21.54,15.04,18.46,20.22,21.86
PLP1,P56,log,3.96,4.02,4.44,4.53,4.35,4.4,4.43,3.91,4.21,4.34,4.45
CNP,P4,raw,3.14,2.16,2.99,2.72,2.79,3.27,3.27,4.7,7.71,9.17,8.33
CNP,P4,log,1.65,1.11,1.58,1.44,1.48,1.71,1.71,2.23,2.95,3.2,3.06
CNP,P14,raw,7.41,7.06,7.82,11.64,10.21,12.65,10.1,9.74,18.46,17.95,17.07
CNP,P14,log,2.89,2.82,2.97,3.54,3.35,3.66,3.34,3.28,4.21,4.17,4.09
CNP,P28,raw,9.24,7.76,12.87,15.04,12.45,15.06,13.31,10.69,15.41,15.93,15.05
CNP,P28,log,3.21,2.96,3.69,3.91,3.64,3.91,3.73,3.42,3.95,3.99,3.91
CNP,P56,raw,14.31,11.51,18.3,18.42,15.62,17.93,17.48,15.12,18.53,18.1,17.36
CNP,P56,log,3.84,3.52,4.19,4.2,3.96,4.16,4.13,3.92,4.21,4.18,4.12
CNP,P56,raw,11.04,8.99,15.17,15.87,13.03,14.83,14.87,12.88,16.25,16.73,16.75
CNP,P56,log,3.46,3.17,3.92,3.99,3.7,3.89,3.89,3.69,4.02,4.06,4.07
