H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all11,H_all15,H_all22,H_all27,H_all28,H_all31,H_all32,H_all36,H_all37,H_all38,H_all304,H_all305,H_all306,H_all307,H_all308,H_all309,H_all310,H_all313,H_all317,H_all324,H_all329,H_all330,H_all333,H_all334,H_all338,H_all339,H_all340,age,gender
0.854842705,0.85490537,0.87003106,0.850229462,0.867238839,0.888646251,0.881910691,0.976617165,0.768248947,0.937118216,0.882495843,0.783147967,0.927178187,0.923965137,0.769050331,0.760485371,0.695216315,0.969697227,0.825535937,0.8462486,0.850072408,0.701605624,0.800794808,0.890996838,0.881031933,0.854572499,0.956811724,1.01130685,0.776840725,0.84679484,0.860965142,0.943284267,0.837230263,0.755323174,1,F
1.018150423,0.960100172,0.988008485,0.991851194,0.957360889,1.094474336,0.983655719,1.03826777,0.910392476,0.966743658,1.023185179,0.86387971,0.936268487,0.939333241,0.894564182,0.862985043,0.864312947,0.986279436,0.856086221,0.904525885,0.818040579,0.80930149,0.903017356,0.753260485,0.791438713,0.870151289,0.917510599,1.001354381,0.926240069,1.075127617,0.886786982,0.945647182,0.925159716,0.878402618,2,F
0.871170732,0.801867515,0.77946679,0.828972554,0.78967506,0.842340758,0.927165731,0.834103639,0.926921351,0.892713453,0.901724302,0.945435815,0.687592262,0.906632575,0.931497697,0.864442989,0.906172432,0.918720136,0.867940678,0.854268878,0.886913522,0.897217349,0.767982625,0.753091478,0.992075525,0.921994669,0.801815689,0.829643551,0.812752383,0.981862261,0.929398206,0.763610114,0.871992874,0.803585088,2,F
0.989674826,0.822593268,0.828355967,0.896530857,0.885298466,0.823185936,0.992869507,0.84287419,0.860104603,0.830137302,0.785016615,0.743131348,0.835966369,0.885623655,0.820579091,0.941143425,0.876850225,0.893749918,0.818088131,0.82681875,0.820258804,0.769393599,0.797309774,0.903169691,0.827794271,0.936899458,0.880571423,0.762842829,0.782736078,0.99788865,0.778656792,0.711793245,0.794876839,0.785538796,1,M
1.02328218,0.979107509,0.765996576,0.772533957,0.851945229,0.843571752,0.786777186,0.822510092,0.757606805,0.806134048,0.786265207,0.731925818,0.880802915,0.859084989,0.876007585,0.765998235,0.877929935,0.861761219,0.705617231,0.696037161,0.800318571,0.767536055,0.777454279,0.770423018,0.715704878,0.882262494,0.895560529,0.814133985,0.997689797,0.899958458,0.872056046,0.879429812,0.771760748,0.808907665,1,M
0.822499729,0.832917138,0.824133501,0.806041191,0.88226174,0.749184367,0.892566683,0.835510957,0.744275547,0.822365602,0.902375519,0.786730547,0.986237321,0.906070339,0.880073854,0.892434732,0.795639975,0.789760376,0.833267645,0.827022769,0.883953561,0.939660318,0.807983942,0.780303857,0.788503492,0.795044063,0.851394299,0.847344187,0.701114842,0.932815861,0.791032826,0.954100324,0.933537781,0.893051474,2,M
0.978151052,0.759868456,1.040508904,1.065003533,0.992620971,1.049823555,1.096532139,1.015608003,0.868987977,0.817655929,0.879776458,0.630229404,0.860026347,0.802545104,0.801941834,0.854087062,0.860417712,0.842888645,0.662255552,1.141419223,0.985184333,1.053181684,1.00302472,1.116025227,0.983072641,0.873643785,0.906526015,0.791483522,0.732560457,0.959545126,0.888541058,1.019294232,0.840988224,0.868587833,1,M
0.894980083,0.920811194,0.863585798,0.809359052,0.86354255,0.801127929,0.77575865,0.850237159,0.827618197,0.754881689,0.763351691,0.798264849,0.822631636,0.860253878,0.922918764,0.880599697,0.877317083,0.807180869,0.923598696,0.887405816,0.876803589,0.867760938,0.84059896,0.774618959,0.975839913,0.744922611,0.842000133,0.873383305,0.893264346,0.914502175,0.989968113,0.857692272,0.783173314,0.818052484,2,M
1.060787574,0.980017287,0.898770435,0.998263873,1.002469058,0.895562619,1.020585774,0.995563337,0.952336707,0.995333476,1.058656913,0.966997825,0.916933009,1.107385621,0.957509951,0.833978878,0.895086285,1.04999223,1.053915402,0.896586126,0.994135229,1.017918332,0.96057161,0.833552114,1.103413743,1.036181493,1.099875053,1.134248678,0.901908603,0.926579985,1.125963299,1.056775045,0.795260658,0.925779069,1,M
0.977720374,0.975747308,0.827934839,0.99364581,0.979792204,0.917220219,0.992140141,0.955349763,0.970009861,0.894940744,0.900338404,0.957666093,1.093912587,0.973600432,0.931244727,0.814484717,0.856875798,1.076080878,0.966951072,0.868406216,0.929679305,1.023798446,1.019231254,1.025892197,1.007816029,0.871201679,0.903875632,0.926562295,0.845078368,1.003463361,0.866838365,0.859020319,0.925934186,0.921708967,2,M
